name,position,pro_team,PTS,BLK,STL,AST,OREB,DREB,REB,PF,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN,GP
Giannis Antetokounmpo,PF,MIL,29.649122807017545,1.0175438596491229,1.0350877192982457,5.771929824561403,2.280701754385965,11.456140350877194,13.736842105263158,3.0350877192982457,3.6666666666666665,10.929824561403509,19.982456140350877,6.333333333333333,10.0,1.456140350877193,4.754385964912281,0.54697103,0.63333333,0.30627306,30.9122807,30.912280701754387,1.0
Anthony Davis,PF,LAL,26.685185185185187,2.462962962962963,1.5185185185185186,3.1481481481481484,2.259259259259259,7.166666666666667,9.425925925925926,2.4814814814814814,2.4814814814814814,9.24074074074074,18.055555555555557,7.074074074074074,8.37037037037037,1.1296296296296295,3.4444444444444446,0.51179487,0.84513274,0.32795699,34.31481481,34.31481481481482,1.0
Nikola Jokic,C,DEN,20.46031746031746,0.6825396825396826,1.2063492063492063,6.841269841269841,2.4285714285714284,7.746031746031746,10.174603174603174,3.0793650793650795,3.0952380952380953,7.9523809523809526,15.015873015873016,3.4444444444444446,4.222222222222222,1.1111111111111112,3.4761904761904763,0.52959831,0.81578947,0.3196347,32.36507937,32.36507936507937,1.0
Luka Doncic,PG,DAL,28.51923076923077,0.19230769230769232,1.0576923076923077,8.711538461538462,1.2884615384615385,8.115384615384615,9.403846153846153,2.480769230769231,4.230769230769231,9.403846153846153,20.442307692307693,6.865384615384615,9.096153846153847,2.8461538461538463,9.038461538461538,0.46001881,0.75475687,0.31489362,33.13461538,33.13461538461539,1.0
LeBron James,SF,LAL,25.677966101694917,0.5084745762711864,1.2372881355932204,10.627118644067796,0.9830508474576272,6.830508474576271,7.813559322033898,1.7796610169491525,4.0,9.728813559322035,19.559322033898304,4.033898305084746,5.728813559322034,2.1864406779661016,6.305084745762712,0.49740035,0.70414201,0.34677419,34.91525424,34.91525423728814,1.0
James Harden,SG,HOU,34.31666666666667,0.8666666666666667,1.7333333333333334,7.383333333333334,1.0666666666666667,5.333333333333333,6.4,3.4166666666666665,4.483333333333333,9.866666666666667,22.783333333333335,10.15,11.75,4.433333333333334,12.65,0.43306511,0.86382979,0.35046113,36.7,36.7,1.0
Stephen Curry,PG,GSW,20.8,0.4,1.0,6.6,0.8,4.4,5.2,2.2,3.2,6.6,16.4,5.2,5.2,2.4,9.8,0.40243902,1.0,0.24489796,27.8,27.8,1.0
Devin Booker,SG,PHO,26.065573770491802,0.26229508196721313,0.7377049180327869,6.540983606557377,0.4426229508196721,3.6885245901639343,4.131147540983607,3.0327868852459017,3.9344262295081966,8.770491803278688,17.918032786885245,6.491803278688525,7.081967213114754,2.0327868852459017,5.622950819672131,0.4894785,0.91666667,0.36151603,36.08196721,36.08196721311475,1.0
Damian Lillard,PG,POR,28.982456140350877,0.3333333333333333,0.9824561403508771,7.824561403508772,0.5263157894736842,3.7719298245614037,4.298245614035087,1.6666666666666667,2.912280701754386,9.175438596491228,20.087719298245613,6.754385964912281,7.614035087719298,3.8771929824561404,9.87719298245614,0.45676856,0.88709677,0.39253996,36.8245614,36.824561403508774,1.0
Kevin Durant,SF,BKN,,,,,,,,,,,,,,,,,,,,,
Trae Young,PG,ATL,29.396551724137932,0.13793103448275862,1.1206896551724137,9.189655172413794,0.5172413793103449,3.7758620689655173,4.293103448275862,1.6896551724137931,4.775862068965517,9.017241379310345,20.67241379310345,8.03448275862069,9.310344827586206,3.3275862068965516,9.362068965517242,0.43619683,0.86296296,0.35543278,35.15517241,35.1551724137931,1.0
Kawhi Leonard,SF,LAC,26.94,0.62,1.8,4.98,1.04,6.34,7.38,1.92,2.8,9.34,20.04,6.16,6.94,2.1,5.74,0.46606786,0.88760807,0.36585366,32.46,32.46,1.0
Jayson Tatum,PF,BOS,23.448275862068964,0.9137931034482759,1.3620689655172413,2.9655172413793105,0.9655172413793104,6.137931034482759,7.103448275862069,2.0689655172413794,2.2758620689655173,8.413793103448276,18.810344827586206,3.793103448275862,4.706896551724138,2.8275862068965516,7.086206896551724,0.44729606,0.80586081,0.39902676,34.65517241,34.6551724137931,1.0
Joel Embiid,C,PHL,23.27906976744186,1.3488372093023255,0.8604651162790697,3.116279069767442,2.7209302325581395,9.046511627906977,11.767441860465116,3.441860465116279,3.046511627906977,7.511627906976744,15.906976744186046,7.0,8.604651162790697,1.255813953488372,3.6744186046511627,0.47222222,0.81351351,0.34177215,30.30232558,30.302325581395348,1.0
Jimmy Butler,SF,MIA,20.24074074074074,0.5370370370370371,1.7037037037037037,6.12962962962963,1.8148148148148149,4.833333333333333,6.648148148148148,1.3703703703703705,2.185185185185185,6.074074074074074,13.37037037037037,7.555555555555555,9.074074074074074,0.5370370370370371,2.1666666666666665,0.45429363,0.83265306,0.24786325,34.24074074,34.24074074074074,1.0
Russell Westbrook,PG,WAS,27.48076923076923,0.3269230769230769,1.6153846153846154,6.980769230769231,1.8076923076923077,6.269230769230769,8.076923076923077,3.5,4.423076923076923,10.711538461538462,22.73076923076923,5.076923076923077,6.538461538461538,0.9807692307692307,3.8653846153846154,0.47123519,0.77647059,0.25373134,35.90384615,35.90384615384615,1.0
Kyrie Irving,PG,BKN,27.4,0.5,1.35,6.4,1.1,4.05,5.15,2.65,2.6,9.95,20.8,4.7,5.1,2.8,7.1,0.47836538,0.92156863,0.3943662,32.95,32.95,1.0
Karl-Anthony Towns,C,MIN,26.457142857142856,1.2,0.9428571428571428,4.371428571428571,2.7142857142857144,8.085714285714285,10.8,3.342857142857143,3.142857142857143,9.028571428571428,17.771428571428572,5.142857142857143,6.457142857142857,3.257142857142857,7.914285714285715,0.50803859,0.79646018,0.41155235,33.91428571,33.91428571428571,1.0
Donovan Mitchell,SG,UTA,24.419354838709676,0.1935483870967742,1.0161290322580645,4.209677419354839,0.6935483870967742,3.7096774193548385,4.403225806451613,2.4516129032258065,2.6774193548387095,8.96774193548387,19.661290322580644,4.016129032258065,4.67741935483871,2.467741935483871,6.806451612903226,0.45611157,0.85862069,0.36255924,34.33870968,34.33870967741935,1.0
Bradley Beal,SG,WAS,30.392857142857142,0.39285714285714285,1.2142857142857142,6.071428571428571,0.9285714285714286,3.3392857142857144,4.267857142857143,2.2142857142857144,3.375,10.392857142857142,22.821428571428573,6.642857142857143,7.892857142857143,2.9642857142857144,8.410714285714286,0.45539906,0.84162896,0.35244161,35.96428571,35.964285714285715,1.0
Pascal Siakam,PF,TOR,23.576923076923077,0.9423076923076923,1.0192307692307692,3.519230769230769,1.0961538461538463,6.365384615384615,7.461538461538462,2.826923076923077,2.4423076923076925,8.653846153846153,18.884615384615383,4.096153846153846,5.153846153846154,2.173076923076923,6.0576923076923075,0.45824847,0.79477612,0.35873016,35.46153846,35.46153846153846,1.0
Brandon Ingram,SF,NOP,24.25,0.6607142857142857,1.0,4.303571428571429,0.875,5.375,6.25,2.892857142857143,3.107142857142857,8.375,17.964285714285715,5.053571428571429,5.892857142857143,2.4464285714285716,6.321428571428571,0.46620278,0.85757576,0.38700565,34.28571429,34.285714285714285,1.0
