name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Hassan Whiteside,C,SAC,13.435483870967742,2.306451612903226,0.5,1.0,11.806451612903226,1.596774193548387,5.693548387096774,9.600000000000001,2.0161290322580645,3.3,0.03225806451612903,0.1,0.593,0.609,0.346,25.4,25.4
Lonzo Ball,PG,NOP,11.903225806451612,0.5967741935483871,1.5,6.806451612903226,6.193548387096774,2.806451612903226,4.532258064516129,11.0,0.6451612903225806,1.2000000000000002,2.193548387096774,6.1,0.412,0.543,0.36,32.9,32.9
LaMelo Ball,PG,CHA,15.651515151515152,0.3939393939393939,1.106060606060606,6.303030303030303,4.0,2.803030303030303,5.46969696969697,13.1,2.621212121212121,3.6,2.090909090909091,2.090909090909091,0.417,0.729,0.337,29.9,29.900000000000002
Julius Randle,PF,NYK,20.285714285714285,0.3968253968253968,0.7936507936507936,3.2063492063492065,9.793650793650794,3.0952380952380953,7.523809523809524,15.9,4.285714285714286,5.8999999999999995,0.9523809523809523,3.4,0.473,0.726,0.281,33.1,33.1
Devonte' Graham,PG,CHA,17.384615384615383,0.2,0.9076923076923077,7.2,3.3076923076923075,2.707692307692308,5.615384615384615,14.4,2.9384615384615387,3.6,3.2153846153846155,8.8,0.39,0.815,0.366,33.6,33.6
Steven Adams,C,NOP,12.838235294117647,1.1029411764705883,1.2058823529411764,2.0,9.602941176470589,1.6029411764705883,5.455882352941177,9.1,1.9264705882352942,3.5,,,0.6,0.55,0.216,31.1,31.1
Lou Williams,SG,LAC,19.757575757575758,0.19696969696969696,0.803030303030303,5.5,2.893939393939394,2.696969696969697,6.424242424242424,15.200000000000001,5.136363636363637,5.8999999999999995,1.7727272727272727,4.8999999999999995,0.423,0.871,0.361,29.0,29.0
Gordon Hayward,SF,CHA,21.05,0.4,0.9,4.3,6.4,1.9,7.683333333333334,15.7,3.7666666666666666,4.5,1.9166666666666667,5.2,0.489,0.838,0.367,34.5,34.5
Al Horford,PF,OKC,12.830769230769231,1.1076923076923078,0.8,4.2,7.0,1.4,5.2,10.9,1.0923076923076922,1.4,1.3384615384615384,3.8,0.477,0.782,0.351,30.7,30.7
Caris LeVert,SG,BKN,17.38095238095238,0.30158730158730157,1.3015873015873016,4.603174603174603,4.396825396825397,2.507936507936508,6.412698412698413,15.200000000000001,2.8412698412698414,4.0,1.7142857142857142,4.8,0.422,0.711,0.357,31.4,31.400000000000002
Danilo Gallinari,PF,ATL,19.516666666666666,0.2,0.7,2.3,5.8,1.4,6.016666666666667,13.5,4.75,5.3,2.7333333333333334,6.6,0.446,0.896,0.413,31.2,31.2
Ricky Rubio,PG,MIN,12.952380952380953,0.20634920634920634,1.507936507936508,7.396825396825397,4.301587301587301,2.6984126984126986,4.444444444444445,10.799999999999999,2.888888888888889,3.4,1.1746031746031746,3.5,0.411,0.852,0.335,30.2,30.2
Aaron Gordon,PF,ORL,16.983333333333334,0.7,0.8,3.5,7.6,1.8,6.283333333333333,14.3,2.85,4.1,1.5666666666666667,4.8,0.439,0.696,0.326,33.3,33.3
Marcus Smart,SG,BOS,12.483870967741936,0.5,1.6935483870967742,4.903225806451613,3.693548387096774,1.8064516129032258,4.209677419354839,10.899999999999999,1.8709677419354838,2.3,2.193548387096774,6.300000000000001,0.386,0.816,0.348,32.4,32.4
